,index,group,id,g1,g11,m,k,error,winner,log_error
0,1692,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.142,-0.025,-0.01,8686.370697212926,0.0,9.069510489735675
1,868,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.141,-0.025,-0.01,8704.985180564952,0.0,9.071651149795896
2,8,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.127,-0.02,-0.01,8749.460075480125,0.0,9.076747271788374
3,1688,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.142,-0.025,-0.015,8805.163177115384,0.0,9.083093553082877
4,864,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.141,-0.025,-0.015,8828.586690484135,0.0,9.085750223084588
5,44,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.127,-0.025,-0.01,8829.33056245789,0.0,9.085834476732801
6,4,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.127,-0.02,-0.015,8845.601426855115,0.0,9.087675600534943
7,1792,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.142,-0.03,-0.01,8847.622736161899,0.0,9.087904084535028
8,936,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.141,-0.03,-0.01,8881.174482000424,0.0,9.091689088726971
9,48,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.127,-0.025,-0.005,9000.428078688868,0.0,9.105027419485975
0,2581,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.142,-0.055,0.49,319.522043704708,0.0,5.766826265818519
1,2673,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.142,-0.06,0.53,320.21730252302,0.0,5.7689998357142445
2,633,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.127,-0.055,0.525,321.46525918701366,0.0,5.772889479322645
3,2769,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.142,-0.065,0.57,322.1261564084044,0.0,5.774943258902925
4,577,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.127,-0.05,0.485,322.31867154885634,0.0,5.775540719345858
5,1597,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.141,-0.055,0.495,322.391474071212,0.0,5.775766565094244
6,2853,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.142,-0.07,0.61,324.1262540525668,0.0,5.781133112891272
7,1665,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.141,-0.06,0.53,324.4679510857318,0.0,5.782186767278161
8,1741,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.141,-0.065,0.57,324.5926865410014,0.0,5.7825711241458375
9,685,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.127,-0.06,0.565,324.74186475192965,0.0,5.78303060443456
0,2726,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.142,-0.09,0.175,1231.9840090995583,0.0,7.116381164382247
1,466,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.127,-0.085,0.175,1232.012522439995,0.0,7.116404308359987
2,1606,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.141,-0.09,0.175,1232.7075956345266,0.0,7.11696832632524
