,index,group,id,g1,g11,m,k,error,winner,log_error
3,442,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.127,-0.08,0.165,1234.6453081921893,0.0,7.118539007967923
4,2666,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.142,-0.085,0.165,1235.3974238317885,0.0,7.119147997968859
5,1650,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.141,-0.095,0.185,1235.657582759262,0.0,7.1193585630333684
6,586,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.127,-0.11,0.22,1235.658347806825,0.0,7.119359182175223
7,1854,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.141,-0.12,0.23,1235.6735066083306,0.0,7.119371449893521
8,706,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.127,-0.135,0.265,1235.735859046123,0.0,7.119421908905833
9,3298,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.142,-0.14,0.265,1235.7736271330657,0.0,7.119452471674989
0,7847,Grp. B2 nude (80% C1; 20% C11),465,0.171,0.127,-0.02,0.195,477.83823857656176,0.0,6.169272262197103
1,199,Grp. B2 nude (80% C1; 20% C11),465,0.166,0.127,-0.02,0.225,505.30109510771433,0.0,6.225154479538171
2,7851,Grp. B2 nude (80% C1; 20% C11),465,0.171,0.127,-0.02,0.2,518.6450553021639,0.0,6.251219748046916
3,967,Grp. B2 nude (80% C1; 20% C11),465,0.166,0.141,-0.02,0.2,524.676423410551,0.0,6.262781736217435
4,1751,Grp. B2 nude (80% C1; 20% C11),465,0.166,0.142,-0.02,0.2,545.3758887814378,0.0,6.301475261112742
5,203,Grp. B2 nude (80% C1; 20% C11),465,0.166,0.127,-0.02,0.23,589.8292275677447,0.0,6.379833050202102
6,971,Grp. B2 nude (80% C1; 20% C11),465,0.166,0.141,-0.02,0.205,597.5225226063751,0.0,6.39279197783394
7,9871,Grp. B2 nude (80% C1; 20% C11),465,0.171,0.142,-0.025,0.205,606.777732274196,0.0,6.408162549823762
8,9039,Grp. B2 nude (80% C1; 20% C11),465,0.171,0.141,-0.025,0.205,625.3735868247029,0.0,6.438349210081175
9,195,Grp. B2 nude (80% C1; 20% C11),465,0.166,0.127,-0.02,0.22,627.5311772833056,0.0,6.441793354685319
0,14100,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.142,-0.05,0.05,1740.880864952542,0.0,7.462146508335796
1,13125,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.141,-0.05,0.05,1743.697804583088,0.0,7.463763312266102
2,13424,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.141,-0.055,0.055,1770.551255647449,0.0,7.479046220947915
3,14419,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.142,-0.055,0.055,1777.5558924676643,0.0,7.482994605609283
4,13703,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.141,-0.06,0.06,1788.9896609920463,0.0,7.489406304281313
5,13781,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.142,-0.045,0.045,1790.917415806934,0.0,7.490483290337021
6,15257,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.142,-0.07,0.065,1795.1602217081995,0.0,7.49284955694351
7,12821,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.141,-0.045,0.045,1796.4657157604702,0.0,7.493576522464137
8,14708,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.142,-0.06,0.06,1801.4066214958784,0.0,7.496323095092792
9,12698,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.127,-0.06,0.065,1802.0403487649776,0.0,7.496674829019148
0,16437,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.127,-0.14,0.355,4510.629654378276,0.0,8.41419203569593
1,18949,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.142,-0.145,0.35,4510.965259960692,0.0,8.414266436195122
2,17789,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.141,-0.145,0.35,4511.564958036262,0.0,8.414399369654355
3,20054,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.142,-0.17,0.405,4512.058996054983,0.0,8.414508868459208
4,18652,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.141,-0.165,0.395,4512.140909359507,0.0,8.41452702260149
5,17275,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.127,-0.16,0.4,4512.192564716188,0.0,8.414538470617419
6,19505,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.141,-0.185,0.44,4512.200141322521,0.0,8.414540149756743
7,19153,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.127,-0.205,0.5,4512.203523595425,0.0,8.414540899340434
8,20927,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.142,-0.19,0.45,4512.246231438121,0.0,8.414550364259371
9,20580,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.141,-0.21,0.495,4512.254236848316,0.0,8.414552138409691
0,16585,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.127,-0.145,0.305,1042.4307855232423,0.0,6.949310558685397
1,18890,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.142,-0.145,0.29,1042.5825216818782,0.0,6.94945610802878
2,16378,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.127,-0.14,0.295,1042.7562776656978,0.0,6.949622753356893
3,18154,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.141,-0.155,0.31,1042.791275675428,0.0,6.94965631577524
4,17942,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.141,-0.15,0.3,1042.9359605605944,0.0,6.949795053844997
5,19107,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.142,-0.15,0.3,1043.003528523525,0.0,6.949859838047327
6,16643,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.141,-0.12,0.245,1043.8816782418648,0.0,6.950701427002315
7,16869,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.141,-0.125,0.255,1044.1807198264007,0.0,6.950987856743932
8,15103,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.127,-0.11,0.24,1044.4241482867906,0.0,6.9512209582416915
9,16792,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.127,-0.15,0.315,1044.5177221072586,0.0,6.951310547925212
0,13128,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.141,-0.05,0.05,3627.754104836312,0.0,8.196369031880813
1,14103,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.142,-0.05,0.05,3631.313221719287,0.0,8.197349630904919
2,13427,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.141,-0.055,0.055,3681.789501627418,0.0,8.211154190584478
3,14706,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.142,-0.06,0.055,3686.739909652362,0.0,8.212497853205182
4,14417,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.142,-0.055,0.05,3687.000703036112,0.0,8.212568588913841
5,12824,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.141,-0.045,0.045,3690.0324827332543,0.0,8.213390539904568
6,14987,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.142,-0.065,0.06,3690.1847674387072,0.0,8.213431808257603
7,13784,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.142,-0.045,0.045,3692.497430036272,0.0,8.2140583184097
8,14422,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.142,-0.055,0.055,3692.552844379352,0.0,8.214073325577159
9,13967,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.141,-0.065,0.06,3702.948039415837,0.0,8.216884548791354
0,28280,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.141,-0.14,0.385,387.3502569061242,0.0,5.959329340317976
1,26869,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.127,-0.135,0.39,387.5060307589074,0.0,5.959731411921089
2,28829,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.141,-0.15,0.41,389.0878817410596,0.0,5.96380523517516
3,27728,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.141,-0.13,0.36,389.32181215732896,0.0,5.964406282220554
4,27407,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.127,-0.145,0.415,389.3431740451832,0.0,5.964461150201619
5,26331,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.127,-0.125,0.365,389.4943760432175,0.0,5.964849426293127
6,29373,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.141,-0.16,0.435,389.7103973062885,0.0,5.96540389227176
7,27936,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.127,-0.155,0.44,389.819840479886,0.0,5.965684684905609
8,30266,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.142,-0.155,0.42,389.9041000293538,0.0,5.965900811525348
9,29717,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.142,-0.145,0.395,390.0535625787588,0.0,5.96628406963896
0,28590,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.141,-0.095,0.13,1008.6686470030398,0.0,6.916386568999189
1,35148,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.127,-0.245,0.31,1015.4329335260828,0.0,6.92307033602916
2,35083,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.127,-0.24,0.305,1015.5188758114772,0.0,6.923154968549785
3,42573,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.142,-0.625,0.72,1015.5839230855748,0.0,6.923219019738287
4,39778,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.127,-0.59,0.695,1015.5891097276372,0.0,6.92322412677937
5,42018,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.142,-0.585,0.675,1015.5920076771068,0.0,6.9232269802417665
6,40723,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.141,-0.575,0.665,1015.6006323524476,0.0,6.923235472469605
7,41948,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.142,-0.58,0.67,1015.6089150236388,0.0,6.923243627877501
8,41393,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.142,-0.54,0.625,1015.6099145157634,0.0,6.923244612007926
9,39713,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.127,-0.585,0.69,1015.6127420305372,0.0,6.923247396059949
0,37419,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.142,-0.255,0.32,2912.1790908102494,0.0,7.976656908390528
1,36284,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.141,-0.25,0.315,2912.568889580085,0.0,7.9767907506689335
2,28596,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.141,-0.095,0.135,2913.288421666862,0.0,7.977037763958822
3,36214,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.141,-0.245,0.31,2913.948566351663,0.0,7.977264336068034
4,39244,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.141,-0.465,0.565,2914.3044223348134,0.0,7.977386450185002
5,40029,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.142,-0.44,0.535,2914.304799739251,0.0,7.977386579685685
6,40444,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.142,-0.47,0.57,2914.307685483748,0.0,7.977387569885155
7,39659,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.141,-0.495,0.6,2914.314228693236,0.0,7.97738981508465
8,37349,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.142,-0.25,0.315,2914.318241189962,0.0,7.977391191907343
9,40679,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.127,-0.655,0.8,2914.325423090098,0.0,7.977393656254299
0,28828,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.142,-0.085,0.075,3070.284709009686,0.0,8.029525575372341
1,28210,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.141,-0.09,0.08,3085.273046912509,0.0,8.034395440336187
2,27184,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.141,-0.075,0.07,3086.7707124071285,0.0,8.03488074652727
3,29170,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.142,-0.09,0.08,3099.686377564035,0.0,8.039056216827626
4,27544,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.141,-0.08,0.075,3105.111065463296,0.0,8.04080476360331
5,28484,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.142,-0.08,0.07,3118.0055977640814,0.0,8.044948844922102
6,28124,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.142,-0.075,0.07,3120.502905391409,0.0,8.04574945543965
7,27873,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.141,-0.085,0.075,3131.5551641785605,0.0,8.049285017706385
8,28547,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.141,-0.095,0.085,3132.469706480086,0.0,8.04957701600681
9,29517,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.142,-0.095,0.085,3135.758913176791,0.0,8.050626501339329
0,39921,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.127,-0.595,0.775,508.07205003954107,0.0,6.230623268307945
1,42236,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.142,-0.595,0.76,508.1516590291534,0.0,6.230779944419838
2,39856,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.127,-0.59,0.77,508.1740921885817,0.0,6.230824090028478
3,41001,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.141,-0.59,0.755,508.1753380171175,0.0,6.230826541603691
4,41071,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.141,-0.595,0.76,508.1972069092324,0.0,6.2308695748245855
5,39586,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.127,-0.57,0.745,508.2036066629134,0.0,6.230882167796956
6,41956,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.142,-0.575,0.735,508.2464727943223,0.0,6.230966512581418
7,40726,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.141,-0.57,0.73,508.2777055041976,0.0,6.231027962590286
8,39651,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.127,-0.575,0.75,508.3096289385893,0.0,6.2310907676898974
9,39316,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.127,-0.55,0.72,508.3795135714971,0.0,6.231228242617279
0,28481,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.142,-0.08,0.065,4734.266545396646,0.0,8.462582092966425
1,28825,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.142,-0.085,0.07,4796.623413331707,0.0,8.475667493799133
2,27536,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.141,-0.08,0.065,4842.869336449077,0.0,8.4852626621609
3,27870,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.141,-0.085,0.07,4853.215455389934,0.0,8.48739674474982
4,27541,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.141,-0.08,0.07,4858.639287994696,0.0,8.488513695798195
5,27181,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.141,-0.075,0.065,4888.79031961177,0.0,8.494700173463333
6,28486,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.142,-0.08,0.07,4910.041808429445,0.0,8.499037735707395
7,28121,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.142,-0.075,0.065,4920.588144708816,0.0,8.501183343949307
8,29167,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.142,-0.09,0.075,4940.77309306353,0.0,8.505277094509221
9,28207,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.141,-0.09,0.075,4951.434019589629,0.0,8.507432514534724
