,index,group,id,g1,g11,m,k,c,a,f,b,l,error,winner,log_error,logaf,logbc,logkm
152,142298968,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.8,0.04,0.01,2897.7305,0,7.971683123387227,-1.3862943611198906,-2.5257286443082556,
153,142087429,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.1,0.02,0.01,2897.7305,0,7.971683123387227,-2.3978952727983707,-3.2188758248682006,
154,142087421,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.0,0.1,0.01,2897.7305,0,7.971683123387227,-2.3025850929940455,-1.6094379124341003,
155,142087417,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.0,0.09,0.01,2897.7305,0,7.971683123387227,-2.3025850929940455,-1.7147984280919266,
156,142087413,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.0,0.08,0.01,2897.7305,0,7.971683123387227,-2.3025850929940455,-1.8325814637483102,
157,142087709,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.8,0.02,0.01,2897.7305,0,7.971683123387227,-2.8903717578961645,-3.2188758248682006,
158,142087397,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.0,0.04,0.01,2897.7305,0,7.971683123387227,-2.3025850929940455,-2.5257286443082556,
159,142299376,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.8,0.06,0.01,2897.7305,0,7.971683123387227,-2.197224577336219,-2.120263536200091,
160,142299372,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.8,0.05,0.01,2897.7305,0,7.971683123387227,-2.197224577336219,-2.3025850929940455,
161,142299368,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.8,0.04,0.01,2897.7305,0,7.971683123387227,-2.197224577336219,-2.5257286443082556,
162,142299312,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.6,0.1,0.01,2897.7305,0,7.971683123387227,-2.0794415416798357,-1.6094379124341003,
163,142299308,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.6,0.09,0.01,2897.7305,0,7.971683123387227,-2.0794415416798357,-1.7147984280919266,
164,142299304,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.6,0.08,0.01,2897.7305,0,7.971683123387227,-2.0794415416798357,-1.8325814637483102,
165,142710471,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.9,0.08,0.01,2897.7305,0,7.971683123387227,-1.5581446180465497,-1.8325814637483102,
166,142087381,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.01,2897.7305,0,7.971683123387227,-2.197224577336219,-1.6094379124341003,
167,142710439,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.8,0.1,0.01,2897.7305,0,7.971683123387227,-1.504077396776274,-1.6094379124341003,
168,142710391,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.7,0.08,0.01,2897.7305,0,7.971683123387227,-1.4469189829363254,-1.8325814637483102,
169,142710395,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.7,0.09,0.01,2897.7305,0,7.971683123387227,-1.4469189829363254,-1.7147984280919266,
170,142710399,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.7,0.1,0.01,2897.7305,0,7.971683123387227,-1.4469189829363254,-1.6094379124341003,
171,142710151,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.1,0.08,0.01,2897.7305,0,7.971683123387227,-1.0116009116784799,-1.8325814637483102,
172,142710155,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.1,0.09,0.01,2897.7305,0,7.971683123387227,-1.0116009116784799,-1.7147984280919266,
173,142710159,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.1,0.1,0.01,2897.7305,0,7.971683123387227,-1.0116009116784799,-1.6094379124341003,
174,142710231,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.3,0.08,0.01,2897.7305,0,7.971683123387227,-1.1786549963416462,-1.8325814637483102,
175,142710475,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.9,0.09,0.01,2897.7305,0,7.971683123387227,-1.5581446180465497,-1.7147984280919266,
176,142709861,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,0.3,0.09,0.01,2897.7305,0,7.971683123387227,0.287682072451781,-1.7147984280919266,
177,142709865,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,0.3,0.1,0.01,2897.7305,0,7.971683123387227,0.287682072451781,-1.6094379124341003,
178,142710195,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.2,0.09,0.01,2897.7305,0,7.971683123387227,-1.0986122886681096,-1.7147984280919266,
179,142710199,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.2,0.1,0.01,2897.7305,0,7.971683123387227,-1.0986122886681096,-1.6094379124341003,
180,142709991,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,0.7,0.08,0.01,2897.7305,0,7.971683123387227,-0.5596157879354225,-1.8325814637483102,
181,142709995,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,0.7,0.09,0.01,2897.7305,0,7.971683123387227,-0.5596157879354225,-1.7147984280919266,
182,142299104,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.1,0.08,0.01,2897.7305,0,7.971683123387227,-1.7047480922384253,-1.8325814637483102,
183,142710479,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,1.9,0.1,0.01,2897.7305,0,7.971683123387227,-1.5581446180465497,-1.6094379124341003,
184,142298776,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.3,0.06,0.01,2897.7305,0,7.971683123387227,-0.4054651081081643,-2.120263536200091,
185,142298772,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.3,0.05,0.01,2897.7305,0,7.971683123387227,-0.4054651081081643,-2.3025850929940455,
186,142299064,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.0,0.08,0.01,2897.7305,0,7.971683123387227,-1.6094379124341003,-1.8325814637483102,
187,142298808,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.4,0.04,0.01,2897.7305,0,7.971683123387227,-0.6931471805599453,-2.5257286443082556,
