,index,group,id,g1,g11,m,k,error,winner,log_error
0,1692,Grp. B2 nude (80% C1; 20% C11),460,0.166,0.142,-0.025,-0.01,8686.370697212926,0.0,9.069510489735675
0,2581,Grp. B2 nude (80% C1; 20% C11),462,0.166,0.142,-0.055,0.49,319.522043704708,0.0,5.766826265818519
0,2726,Grp. B2 nude (80% C1; 20% C11),463,0.166,0.142,-0.09,0.175,1231.9840090995583,0.0,7.116381164382247
0,7847,Grp. B2 nude (80% C1; 20% C11),465,0.171,0.127,-0.02,0.195,477.83823857656176,0.0,6.169272262197103
0,14100,Grp. B3 nude (50% C1; 50% C11),466,0.166,0.142,-0.05,0.05,1740.880864952542,0.0,7.462146508335796
0,16437,Grp. B3 nude (50% C1; 50% C11),467,0.166,0.127,-0.14,0.355,4510.629654378276,0.0,8.41419203569593
0,16585,Grp. B3 nude (50% C1; 50% C11),468,0.166,0.127,-0.145,0.305,1042.4307855232423,0.0,6.949310558685397
0,13128,Grp. B3 nude (50% C1; 50% C11),469,0.166,0.141,-0.05,0.05,3627.754104836312,0.0,8.196369031880813
0,28280,Grp. B3 nude (50% C1; 50% C11),470,0.171,0.141,-0.14,0.385,387.3502569061242,0.0,5.959329340317976
0,28590,Grp. B4 nude (20% C1; 80% C11),472,0.166,0.141,-0.095,0.13,1008.6686470030398,0.0,6.916386568999189
0,37419,Grp. B4 nude (20% C1; 80% C11),473,0.166,0.142,-0.255,0.32,2912.1790908102494,0.0,7.976656908390528
0,28828,Grp. B4 nude (20% C1; 80% C11),475,0.166,0.142,-0.085,0.075,3070.284709009686,0.0,8.029525575372341
0,39921,Grp. B4 nude (20% C1; 80% C11),476,0.166,0.127,-0.595,0.775,508.07205003954107,0.0,6.230623268307945
0,28481,Grp. B4 nude (20% C1; 80% C11),477,0.166,0.142,-0.08,0.065,4734.266545396646,0.0,8.462582092966425
